id,createdAt,listing,state,rating,content,type,transaction,sentiment
71f6b96e-2bf7-4c77-a71d-46ad8fa85abc,2021-12-06 23:17:11.002927+00:00,"Robe bleue An&Be, T.34/36 | 5f29125b-556a-4d96-ad30-9be3211246b9",public,5,"Merci encore pour ta disponibilité, tout était parfait !! ",ofProvider,Transaction object (0127377a-355b-4f82-9d64-8d4361b8080e),POSITIVE
912a6e08-f914-4eb2-9696-c7c0f945881f,2021-12-06 19:06:59.062829+00:00,"Robe portefeuille Mirae à motif fleuri, T.36 | 79017cbb-4846-4972-a2e3-e757b7a7f516",public,5,Isadora est adorable et très arrangeante. Sa robe est sublime. Je conseille vivement !! ,ofProvider,Transaction object (c4e2ea4a-9b5c-4dd1-851f-5e00d9c7c92c),POSITIVE
9263ca34-32b7-4b7b-8c36-df9c5c277204,2021-12-06 09:14:46.419102+00:00,Magnifique robe Bash Maddie Bleu T1 (T.36-38) | 5d90569b-6a8e-42a6-bbd2-b12c8816c324,public,5,"Super loc, je recommande ! Merci Amélie",ofProvider,Transaction object (846e3506-f9e5-4f8a-b461-9d56995bc035),POSITIVE
abae0c70-8974-4e5e-bc54-b54b16203ad2,2021-12-01 11:27:14.924446+00:00,,public,5,Très bonne expérience !:) ,ofCustomer,Transaction object (25528d7d-5d35-4e56-87dd-d58ea398f9fa),POSITIVE
a6b2c78d-37d4-4b78-b18e-717464ab264c,2021-11-26 07:26:18.635428+00:00,,public,5,Deuxième expérience avec Inès je recommande +++,ofCustomer,Transaction object (c6adb52d-06be-4b51-b108-03644dabc44d),POSITIVE
124129a1-feaa-4563-b22a-c2484a0ec064,2021-11-26 07:25:44.276934+00:00,,public,5,"Je recommande vivement Marie-Alix ! 
Super flex, adorable, et à rendu la combi dans un état comme neuf ! Elle était sublime dans celle-ci 🤩
À très vite !",ofCustomer,Transaction object (bb1296dc-e870-44f0-9fa3-c6b67feb3924),POSITIVE
6df6b5cc-9cca-454f-acc5-36e587e92c07,2021-11-24 08:50:24.469422+00:00,,public,5,"Je recommande vivement Pauline, soigneuse et arrangeante, a bientôt !",ofCustomer,Transaction object (d233c955-2b07-4717-973f-32d147ae9b06),POSITIVE
28dba546-e43e-4ad3-8a5f-178df11c9672,2021-11-24 08:47:57.196025+00:00,,public,5,"Je recommande vivement Constance ! Soigneuse, adorable et très arrangeante. Foncez !!",ofCustomer,Transaction object (1cb603d5-7c77-4ffd-8479-80554838533d),POSITIVE
b013c89a-eb7d-4317-92bf-05a509084abd,2021-11-24 08:47:03.919309+00:00,,public,5,"Je recommande vivement Florence, communication excellente, soigneuse et efficace ! Merci encore et à bientôt !",ofCustomer,Transaction object (50835cf7-efb8-4dcb-9243-ba3adfc00706),POSITIVE
98a49434-a9e1-4be3-a259-159b66d6d3c2,2021-11-24 07:41:30.812105+00:00,Robe Rhodes rose Claudie Pierlot T36 | 1882ad28-7822-44d9-b885-8340357b5379,public,5,"Très bon échange, je recommande !",ofProvider,Transaction object (50835cf7-efb8-4dcb-9243-ba3adfc00706),POSITIVE
