id,end,start,state,listing
b283ba2a-4852-4b5b-b2f2-375d3d347373,2021-08-23 12:00:00+00:00,2021-08-20 12:00:00+00:00,accepted,Elegante capeline | 5d85e13f-8774-4fe3-b11a-35e35e0a2e23
b26a763b-cf5f-482b-98b6-06a5330252e7,2022-05-19 12:00:00+00:00,2022-05-10 12:00:00+00:00,accepted,"Robe Estée Violeta Vergara, T.38 | 62b9818a-d2bc-4084-bd2e-b93d930d2711"
b262e2fb-7c7d-4ad1-ba5c-6bac9ffd7118,2022-05-30 12:00:00+00:00,2022-05-24 12:00:00+00:00,accepted,Diadème / Serre-tête rouge Les Petites Mésanges | 5f4f8e42-7e3a-4562-9ca7-913182f17871
b25a09b1-9267-4d04-96b4-a0f5f3a2828e,2021-09-22 12:00:00+00:00,2021-09-16 12:00:00+00:00,accepted,Twilly (foulard) au pli de diane | 5f5d1e48-f404-4797-a235-cbdbce70e35f
b2164cce-81f9-4c7f-ae96-da1956a46206,2022-06-04 12:00:00+00:00,2022-06-03 12:00:00+00:00,accepted,Chapeau « Chic à Chic Création » | 0ef01c50-915e-4a03-b0c6-15c4169a527c
b20796d2-8f53-4176-abd3-9acd569820a2,2022-05-30 12:00:00+00:00,2022-05-23 12:00:00+00:00,cancelled,Serre-tête noir L'otarie Club | 9fb1bfe5-e51a-4960-a353-8136e8e5f1fd
b1979e5c-8047-49cd-8e20-c4c8fbb71521,2021-07-11 12:00:00+00:00,2021-07-09 12:00:00+00:00,pending,Robe Fermo Rouge Apoluze T.40 | 5f4c0228-0696-4c01-9036-c3f9258140b9
b189418b-ddd4-4b26-b632-de8bc4cd6965,2022-01-09 12:00:00+00:00,2022-01-07 12:00:00+00:00,accepted,Body cache coeur noir velours - Flair | a54956fe-c695-47f4-8aed-0cda3d43c66d
b184bc51-0e8c-4e81-8f76-aa7e06cfc727,2022-05-30 12:00:00+00:00,2022-05-25 12:00:00+00:00,accepted,Capeline fleuri cascade | 98aaa3b7-fce1-4605-86a4-7d1e50da43b2
b12c5a32-b196-4ac3-9061-5e8739bf568d,2021-11-30 12:00:00+00:00,2021-11-22 12:00:00+00:00,accepted,Robe argentée Maje T.34 | f6decbd5-43a3-49aa-9af4-e72b85878168
b1131fee-f317-48e6-a753-465d0c7a65ac,2022-04-21 12:00:00+00:00,2022-04-11 12:00:00+00:00,accepted,Robe danse Maison Guillemette rouge T.36 | f98f67f5-dca5-4be5-ba1b-cf3978cbd30f
b1101705-a787-460c-bb63-57a9249a989f,2022-05-07 12:00:00+00:00,2022-05-02 12:00:00+00:00,cancelled,"Pantalon Vert Mango, T.38 | 34c2315b-b809-4733-bfef-1601456d3955"
b1084465-d4c9-4136-96e3-c4804ba737c4,2021-10-13 12:00:00+00:00,2021-10-07 12:00:00+00:00,accepted,Robe Bleu et crème An&Be TS | cf169fd4-7430-4aa2-a868-3707569dd6b6
b0fc3c8a-0e20-41c9-820f-c042c24b9516,2021-07-16 12:00:00+00:00,2021-07-09 12:00:00+00:00,cancelled,"Très belle Robe mi-longue Mirae en soie, T.36 | ed501834-6abe-4e1a-983a-df176fc769b3"
b05bc5dc-5f2f-4edd-87df-746b6445d0d5,2022-07-04 12:00:00+00:00,2022-06-29 12:00:00+00:00,accepted,"Combinaison Claude Sezane, T.38 | c77454bb-454e-445b-b54f-d8f6fc0a65e0"
b023fb11-2691-4092-ade7-2e1a8c1e5420,2022-02-01 12:00:00+00:00,2022-01-26 12:00:00+00:00,accepted,Bibi blanc à voilette | a5a7ecf7-bbfc-4854-a55f-e0753b20f4e5
afd973a6-5719-4ceb-a737-b048b971b8b7,2022-02-28 12:00:00+00:00,2022-02-25 12:00:00+00:00,accepted,"Robe maxi Ba&sh Maddie, T.36 | df41d80c-26e6-4b7a-9204-eecec48a8c94"
af8df6a7-6a62-46cd-a79e-84f72a004a52,2021-09-19 12:00:00+00:00,2021-09-17 12:00:00+00:00,accepted,Chapeau Cannes Doré les Petites Mésanges | e424e100-e54c-4ed3-b50a-a37769816edf
af043486-f9f6-4bdd-812d-87466c90c80f,2021-07-04 12:00:00+00:00,2021-07-03 12:00:00+00:00,pending,Magnifique robe longue Asos corail T36 | 5d3024bf-2329-4535-8ab3-eed71e12ae51
af01c2cd-fec3-4a3a-b89d-576fb5f2f9a1,2022-04-23 12:00:00+00:00,2022-04-15 12:00:00+00:00,accepted,"Double peigne Azalée, les couronnes de Victoire | d0811519-cd4b-4bbc-a452-dcc92bba7c05"
af01a4b7-5166-43bf-aa15-eeca364c92ac,2021-06-13 12:00:00+00:00,2021-06-12 12:00:00+00:00,pending,"Robe Ba&sh Vadea bleu, T.1 | 5f773327-bb6a-4ca6-b055-f6427962d4d9"
aea8ee5b-da5e-46d6-95f9-369d8bf25608,2022-05-10 12:00:00+00:00,2022-05-02 12:00:00+00:00,cancelled,Robe mariage civil T34 | 5cf91943-0fa4-471f-a3bf-7d1f532d214b
ae564271-f659-4950-9336-082a41f16f9f,2022-05-24 12:00:00+00:00,2022-05-19 12:00:00+00:00,accepted,"Robe Ba&sh Framboise, T.36 | e60cebd8-88d4-4785-ac45-2069dbe61e4e"
